ncols	240
nrows	240
xllcorner	268962.000000
yllcorner	5401414.000000
cellsize	100.000000
NODATA_value	-1.000000
51	45	37	37	38	39	40	42	44	46	48	49	50	50	49	47	44	43	42	43	44	40	33	30	29	28	29	32	37	42	48	57	64	67	69	68	66	65	64	64	64	62	59	55	53	51	47	46	48	49	49	48	48	49	50	52	54	56	57	58	56	54	52	51	52	51	49	48	49	51	51	50	49	48	48	49	50	51	55	59	62	65	68	71	72	71	72	72	70	70	73	73	74	76	79	80	82	84	85	86	83	78	75	73	69	65	62	61	61	61	59	56	51	46	41	38	41	43	43	42	42	44	46	46	44	45	47	45	42	38	31	29	31	37	42	43	44	46	47	45	45	44	37	34	34	36	38	38	39	40	41	40	38	38	39	38	33	26	21	26	34	34	36	50	58	59	56	54	54	55	59	62	64	65	68	71	74	75	75	76	76	75	75	76	76	77	79	82	82	78	76	76	75	73	68	63	58	54	52	50	49	49	48	47	43	41	43	44	42	41	39	40	41	39	35	35	38	38	34	33	31	31	33	27	19	20	23	26	29	33	33	34	39	41	45	53	59	60	68	72	
56	49	38	36	37	39	39	42	45	46	48	49	51	52	51	49	46	45	43	44	47	44	38	33	31	31	32	33	38	43	50	60	69	75	77	76	75	74	72	72	71	68	64	60	59	57	53	51	51	52	53	53	53	53	53	54	55	55	56	56	55	54	51	50	50	49	47	46	47	48	48	47	45	45	45	45	47	48	50	54	58	61	63	65	67	65	65	67	65	66	70	70	72	76	79	80	82	85	88	89	88	87	86	85	82	76	71	68	68	68	66	64	59	53	46	41	41	46	48	45	44	45	47	46	43	43	45	45	45	41	33	30	32	37	41	43	44	46	46	42	41	38	27	28	32	35	37	37	38	40	41	40	39	39	40	39	36	28	21	24	32	34	35	48	57	58	54	53	53	54	58	62	63	64	65	68	71	73	75	77	77	77	77	78	79	79	79	80	80	78	76	77	77	75	73	70	66	61	57	54	52	51	49	47	44	43	45	43	39	39	39	40	41	40	36	35	38	38	35	33	29	29	33	28	20	20	24	28	32	35	35	36	40	40	43	51	57	59	67	71	
55	49	40	38	36	39	39	41	43	44	45	47	49	50	50	48	46	46	44	43	47	47	42	37	35	35	35	35	36	39	45	56	68	76	79	78	77	77	75	76	74	69	65	62	61	60	56	54	52	53	55	55	54	54	54	54	54	54	54	53	52	51	50	50	50	48	46	46	46	46	46	45	44	44	44	44	45	46	46	49	54	59	61	63	65	62	61	64	61	62	65	66	69	74	78	79	81	85	88	89	90	91	92	92	90	85	81	77	75	74	71	68	65	59	51	45	42	47	51	49	48	50	51	49	46	47	46	42	42	42	34	32	35	38	41	42	45	47	46	41	39	36	21	22	30	33	36	37	38	40	41	41	39	40	41	40	38	32	26	25	31	32	32	45	56	58	56	56	56	56	59	62	62	63	65	67	69	71	75	77	77	78	79	80	81	81	81	80	79	77	75	75	74	73	73	72	69	66	62	58	56	53	49	46	44	45	45	40	37	39	40	39	40	39	37	35	37	38	35	33	29	27	31	27	19	21	25	28	31	34	33	34	37	37	39	47	53	56	66	70	
52	45	38	37	34	39	40	40	41	42	44	46	47	48	49	47	46	46	44	43	45	47	44	40	38	37	38	38	38	36	39	50	61	70	73	72	73	73	72	72	72	68	64	61	61	60	57	55	53	53	54	54	54	54	54	54	54	54	54	51	49	49	49	49	50	49	47	47	47	46	46	46	44	43	43	43	44	44	43	46	51	55	58	61	62	60	60	62	59	58	61	62	63	68	73	77	82	85	87	88	89	91	93	93	93	91	89	85	82	77	73	71	68	63	56	50	45	46	51	51	51	53	54	53	51	53	52	46	43	43	36	33	37	38	39	39	43	47	46	41	40	37	24	22	30	32	34	36	39	40	41	41	40	40	40	39	38	35	30	26	28	29	29	40	52	56	58	59	59	59	62	64	63	62	64	67	68	69	72	75	75	76	78	79	80	80	81	81	80	78	75	74	72	71	71	70	68	65	63	61	58	54	48	44	45	46	44	38	37	40	41	40	40	39	38	37	37	38	35	32	29	27	30	27	22	23	25	28	31	33	32	33	36	37	38	45	51	55	65	70	
45	38	34	34	31	34	37	39	43	46	48	49	49	50	51	49	48	48	47	45	46	46	43	40	39	40	41	42	44	41	37	44	54	60	60	58	59	60	61	62	64	65	63	61	61	60	57	55	54	54	54	54	54	55	55	55	54	54	54	51	49	48	49	48	49	49	49	49	49	47	47	46	43	39	36	36	38	38	37	41	44	47	50	53	54	53	54	56	53	52	54	54	53	57	64	70	76	79	81	85	88	90	91	92	93	93	93	92	89	84	78	76	73	68	62	57	51	51	54	53	54	55	55	55	56	58	58	51	48	46	37	35	37	38	40	39	43	48	47	43	42	39	27	25	30	31	33	36	39	41	41	41	40	39	39	37	36	35	31	26	27	26	29	36	47	54	56	57	58	59	61	64	62	60	62	64	64	65	68	71	72	71	73	74	74	75	76	77	77	76	73	70	69	68	67	66	65	62	61	60	58	54	49	45	46	46	42	38	39	41	42	41	40	39	38	38	38	38	35	32	30	29	30	27	25	25	27	29	31	33	33	34	38	39	39	47	53	56	66	71	
32	30	30	31	28	28	28	31	40	49	54	55	54	53	54	51	47	47	47	45	45	45	42	41	40	42	44	47	52	52	46	47	54	57	54	49	48	47	49	52	54	57	58	60	60	59	56	54	53	53	53	53	53	54	54	53	53	53	53	50	48	48	48	47	48	49	50	51	51	49	49	47	43	37	31	29	32	32	31	34	37	41	45	48	49	49	50	52	51	52	56	54	50	54	60	65	70	72	76	83	88	90	91	91	91	92	93	93	91	88	83	79	75	71	66	61	56	55	57	55	56	56	54	54	56	59	58	50	46	44	36	36	38	39	41	43	46	50	50	46	44	40	29	27	31	31	32	36	39	41	41	41	40	39	38	37	35	34	31	28	27	23	25	31	39	49	53	55	56	59	62	64	62	61	62	64	65	65	68	71	73	71	70	69	69	70	71	71	72	71	68	67	67	66	65	64	62	60	58	58	57	54	48	46	47	45	39	38	39	41	43	42	41	39	38	39	39	38	35	32	31	30	30	27	26	26	28	29	31	33	33	35	40	40	39	49	54	57	68	72	
12	23	32	33	33	33	33	31	35	45	53	58	58	56	56	53	49	47	46	45	45	44	42	41	41	42	44	48	55	59	59	60	61	60	55	49	46	44	46	49	50	53	55	58	59	59	56	55	54	54	54	54	53	53	53	52	52	52	51	50	47	47	47	47	47	49	50	51	51	50	51	50	46	40	34	30	30	29	29	32	35	39	43	46	47	47	48	48	47	50	54	54	51	54	58	60	62	64	68	75	80	84	88	89	88	89	90	91	89	88	86	83	78	73	69	65	60	58	59	57	58	58	55	54	56	57	55	49	44	43	38	39	41	41	44	47	49	53	54	50	47	41	31	29	33	32	32	35	39	41	42	42	41	41	39	37	35	34	31	28	26	21	18	24	29	41	50	52	53	57	61	63	63	63	64	63	63	64	66	69	72	70	68	67	67	67	68	68	68	68	66	65	64	64	64	64	62	59	57	57	56	52	46	45	45	42	37	37	39	41	43	42	40	39	38	40	39	38	36	33	32	31	29	27	28	27	28	28	30	33	32	33	40	41	40	50	54	58	69	73	
332	12	46	49	48	46	42	38	38	43	49	55	58	57	56	54	51	49	49	48	46	46	44	41	39	39	40	45	51	55	59	62	63	63	59	52	48	46	49	51	51	53	55	57	59	58	57	57	57	56	56	55	54	53	53	52	52	52	51	50	49	48	48	47	47	48	48	49	50	50	52	52	50	45	39	37	38	38	38	40	40	42	45	47	47	46	44	43	41	42	45	44	44	48	50	52	52	52	56	62	66	72	79	83	83	85	87	87	86	86	87	85	81	77	74	70	66	63	64	61	60	59	56	56	59	59	57	52	48	46	43	42	43	44	47	50	52	55	58	55	51	44	34	32	34	34	33	35	39	41	41	40	41	42	40	37	35	33	31	30	26	21	16	19	25	33	45	48	49	53	56	56	58	61	63	62	60	61	64	66	67	66	66	65	64	65	65	63	63	64	63	62	61	61	61	61	60	57	54	54	54	49	43	42	42	37	36	36	37	41	44	42	40	39	39	40	40	38	37	35	33	31	29	27	28	28	30	30	31	35	34	33	41	43	45	51	56	60	70	74	
345	8	40	50	54	53	50	45	43	44	47	51	53	54	53	52	49	49	49	48	47	46	45	41	38	37	37	41	46	49	53	55	57	59	57	51	48	46	49	51	51	53	55	56	57	57	56	57	57	56	57	57	56	55	53	52	52	51	50	49	49	49	49	47	48	48	47	48	49	49	50	50	48	43	39	41	46	52	55	56	54	51	50	50	48	46	43	41	39	40	41	39	41	44	45	48	51	51	52	56	60	65	71	75	78	81	83	84	84	84	86	86	83	80	77	73	69	66	66	63	60	58	55	56	59	60	59	56	51	49	47	45	44	45	49	52	52	55	58	57	54	47	37	34	35	35	34	35	39	41	40	38	39	39	38	35	33	32	30	31	29	23	17	17	20	26	38	41	44	50	53	53	55	58	62	62	60	61	65	67	66	64	63	63	63	65	64	61	59	60	59	59	59	58	59	60	59	54	51	51	50	45	39	38	37	34	35	36	36	41	43	41	40	40	41	41	40	38	37	36	34	32	29	28	28	29	32	33	33	37	38	37	43	46	50	55	60	63	72	76	
357	11	32	41	49	52	51	49	48	47	47	48	49	50	50	49	47	46	47	46	43	42	42	41	39	37	37	40	43	46	48	49	51	53	53	50	47	46	48	50	50	52	54	56	56	55	55	55	55	54	56	56	56	54	53	52	52	51	50	49	49	49	49	48	49	49	47	49	49	47	44	42	39	36	34	36	42	47	52	57	59	56	53	52	50	46	42	40	39	39	39	38	40	42	43	46	50	52	52	54	57	61	65	68	72	74	74	77	80	82	84	86	85	83	79	76	72	70	67	62	58	57	54	54	56	57	56	55	52	49	47	47	45	45	48	51	51	52	54	54	53	48	40	36	37	36	35	35	39	41	41	39	39	39	37	34	32	32	30	32	32	26	18	13	12	19	31	33	38	45	48	50	54	59	60	61	62	63	65	65	64	62	60	60	61	63	63	59	57	56	54	54	55	54	55	56	55	49	45	45	45	40	34	34	34	33	35	36	36	41	43	40	39	40	40	40	39	38	37	36	35	32	29	29	30	31	35	36	36	40	41	41	46	50	55	58	63	64	72	76	
